client_id,preferred_neighborhood,min_price,max_price,min_bedrooms,max_bedrooms,min_bathrooms,max_bathrooms,min_year_built,max_year_built
48,NoRidge,195259,332875,2,3,1,2,1998,2001
49,NWAmes,169163,208156,2,4,2,3,1918,2019
50,OldTown,125939,239385,3,5,2,2,1919,2013
51,Crawfor,148925,312562,2,5,1,2,1956,2013
52,CollgCr,142941,247255,4,4,1,2,1917,2004
53,NoRidge,121834,221919,4,4,2,2,1946,2001
54,Veenker,118047,285982,2,3,1,3,1948,2017
55,OldTown,126105,391786,4,4,1,3,1913,2008
56,NoRidge,175766,230307,2,4,1,2,1914,2002
57,Veenker,115707,347719,2,3,2,3,1930,2008
58,Somerst,121976,246844,4,5,2,2,1900,2007
59,Somerst,144262,320976,2,4,1,3,1953,2002
60,Edwards,123776,296602,4,4,2,2,1902,2022
61,NoRidge,130080,307513,3,4,2,2,1915,2022
62,Somerst,166842,347444,2,3,2,2,1986,2003
63,Veenker,161373,311473,3,3,2,2,1956,2018
64,Edwards,106776,333122,4,4,2,2,1974,2012
65,Veenker,192787,362689,3,3,1,2,1911,2001
66,Edwards,155016,303728,3,3,1,3,1973,2022
67,NoRidge,109474,312894,4,5,1,2,1995,2012
68,OldTown,158053,220933,3,5,2,3,1915,2005
69,NWAmes,121959,317797,3,3,2,2,1971,2017
70,BrkSide,105530,229856,4,4,1,3,1975,2016
71,OldTown,194856,392507,3,3,2,3,1923,2015
72,Mitchel,103748,374089,4,5,1,3,1927,2023
73,Veenker,197504,207401,3,5,1,2,1907,2015
74,Mitchel,198098,317859,4,4,1,2,1991,2005
75,OldTown,113545,373715,4,5,2,3,1935,2021
76,Edwards,166199,215152,3,3,2,2,1989,2014
77,BrkSide,134766,382480,3,4,1,3,1907,2002
78,BrkSide,173530,266691,3,3,1,2,1957,2011
79,CollgCr,193557,204500,2,3,1,3,1959,2019
80,BrkSide,161087,206296,2,4,1,3,1949,2007
81,NWAmes,195839,320886,2,3,2,2,1927,2006
82,BrkSide,168840,326072,4,5,2,3,1991,2002
83,OldTown,154384,259041,3,3,1,2,1940,2006
84,CollgCr,151005,212184,4,4,1,3,1999,2018
85,OldTown,146576,360372,2,4,2,3,1963,2002
86,OldTown,139353,343947,3,4,2,2,1926,2018
87,Crawfor,162003,316337,4,4,1,2,1962,2015
88,CollgCr,183211,232712,3,4,1,2,1916,2019
89,OldTown,152733,205540,4,4,1,3,1972,2002
90,Crawfor,165318,384424,3,3,2,2,1932,2020
91,Crawfor,189474,392340,2,5,2,3,1983,2006
92,CollgCr,123664,379427,2,3,2,3,1976,2001
93,Mitchel,167172,326064,3,4,1,2,1991,2024
94,Edwards,185616,333630,4,4,1,2,1928,2015
95,NWAmes,193264,238361,2,3,2,3,1912,2023
96,Edwards,126736,333273,2,5,2,3,1945,2010
97,BrkSide,194209,399570,2,4,1,2,1934,2019
98,NWAmes,100854,378048,3,4,2,2,1905,2017
99,BrkSide,190084,221358,3,4,2,2,1981,2005
100,OldTown,138623,319122,4,4,1,2,1968,2004
